episode,reward,winner
1,-1.05,-1
2,0.95,1
3,-1.69,1
4,-4.98,-1
5,-1.05,-1
6,-1.77,1
7,-2.26,-1
8,-4.49,1
9,-1.25,-1
10,-0.95,1
11,-3.18,-1
12,-5.38,-1
13,-2.27,1
14,-4.29,1
15,-5.65,-1
16,-1.85,-1
17,-1.35,-1
18,-6.79,-1
19,-5.46,-1
20,-6.59,0
21,-2.16,-1
22,-1.86,-1
23,-1.25,-1
24,-5.56,-1
25,-5.19,0
26,-1.75,-1
27,0.53,1
28,-4.55,-1
29,-5.97,-1
30,-3.15,-1
31,0.43,1
32,-4.16,-1
33,-3.25,-1
34,-3.05,-1
35,-1.85,-1
36,-1.26,-1
37,-6.59,1
38,-4.56,-1
39,-0.95,1
40,-2.95,-1
41,-3.55,-1
42,0.65,1
43,0.83,1
44,-3.97,-1
45,-2.39,1
46,0.55,1
47,-5.09,0
48,-2.15,-1
49,-2.99,1
50,-2.17,1
51,-4.57,1
52,-2.96,-1
53,-4.95,-1
54,-3.89,-1
55,-5.79,-1
56,-1.78,1
57,-4.09,1
